fighter,odds,ev,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,finish_rate,decision_rate,win_rate,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUATT
 Jun Yong Park,-138.0,72.4638,1,0,0,,0.522,0.0,0.5,0.25,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,28,0.0,0.0,0.0,,,
AJ Cunningham,410.0,410.0,2,0,0,,,,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,135,30,0.0,0.0,0.0,4.22,0.29,0.5
AJ Dobson,124.0,124.0,2,0,0,4.29,0.46,0.3,1.67,0.75,1,2,7,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,31,1.0,0.0,0.3333333333333333,,,
AJ Fletcher,-350.0,28.5714,2,0,0,3.36,0.49,0.9,1.54,0.35,1,2,7,0,0,0,0,1,0,0,1,Switch,177.8,170.18,170,26,1.0,0.0,0.3333333333333333,,,
Aalon Cruz,-190.0,52.6316,0,0,0,9.04,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,30,0.0,0.0,0.0,,,
Aaron Phillips,160.0,160.0,3,0,0,1.51,0.53,0.6,0.86,0.5,0,3,8,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,33,0.0,0.0,0.0,,,
Aaron Pico,-156.0,64.1026,0,0,0,,,,8.96,0.66,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,145,28,0.0,0.0,0.0,3.88,0.44,0.0
Aaron Riley,220.0,220.0,1,0,0,36.0,0.369,0.125,1.0,0.284,1,5,17,0,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,32,0.0,1.0,0.375,,,
Aaron Rosa,-120.0,83.3333,1,0,0,73.0,0.4,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,28,0.0,0.0,0.0,,,
Aaron Simpson,135.0,135.0,0,1,0,42.6,0.55,0.3,3.1,0.391,3,3,26,0,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,38,0.2857142857142857,0.7142857142857143,0.7,,,
Aaron Wilkinson,-110.0,90.9091,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,155,23,0.0,0.0,0.0,,,
Abdul Rakhman Yakhyaev,-1600.0,6.25,0,1,0,20.95,0.78,14.3,14.29,1.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,187.96,198.12,205,24,1.0,0.0,1.0,,,
Abdul Razak Alhassan,-300.0,33.3333,2,0,0,3.71,0.47,0.0,0.53,0.28,3,3,11,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,1.0,0.0,0.5714285714285714,,,
Abdul-Kareem Al-Selwady,-135.0,74.0741,0,1,0,4.14,0.34,0.0,2.32,0.3,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,155,28,0.0,1.0,1.0,,,
Abdul-Kerim Edilov,-670.0,14.9254,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,205,25,0.0,0.0,0.0,,,
Abel Trujillo,115.0,115.0,0,3,0,25.8889,0.377,0.3333,1.4444,0.581,3,3,18,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,33,0.6666666666666666,0.16666666666666666,0.6666666666666666,,,
Abner Lloveras,125.0,125.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,155,33,0.0,0.0,0.0,,,
Abu Azaitar,195.0,195.0,1,0,0,4.38,0.43,0.0,1.0,0.37,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,193.04,185,37,0.0,1.0,0.5,,,
Abubakar Nurmagomedov,-120.0,83.3333,0,2,0,2.78,0.53,0.0,1.25,0.22,2,1,7,0,0,0,2,0,0,0,2,Orthodox,180.34,182.88,170,33,0.0,1.0,0.6666666666666666,,,
Abus Magomedov,172.0,172.0,0,3,0,3.07,0.49,0.4,2.61,0.59,3,2,15,0,0,0,2,1,1,0,4,Orthodox,187.96,198.12,185,35,0.5,0.5,0.6666666666666666,,,
Adam Cella,220.0,220.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,27,0.0,0.0,0.0,,,
Adam Fugitt,330.0,330.0,1,0,0,4.88,0.46,0.0,1.63,0.22,1,3,10,0,0,1,0,1,0,0,2,Southpaw,185.42,195.58,170,37,0.5,0.5,0.4,,,
Adam Milstead,-110.0,90.9091,2,0,0,39.0,0.643,0.0,0.0,0.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,205,31,1.0,0.0,0.3333333333333333,,,
Adam Wieczorek,-170.0,58.8235,0,2,0,27.5,0.46,0.5,0.0,0.0,2,0,5,0,0,0,1,0,1,0,2,Orthodox,195.58,205.74,250,26,0.5,0.5,1.0,,,
Adam Yandiev,240.0,240.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,185,30,0.0,0.0,0.0,,,
Adlan Amagov,-190.0,52.6316,0,1,0,,,,6.0,0.6,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,193.04,170,26,0.0,1.0,1.0,38.0,0.38,0.0
Adrian Yanez,185.0,185.0,0,1,0,6.51,0.41,0.0,0.0,0.0,6,2,15,0,0,1,0,6,0,0,7,Orthodox,170.18,177.8,135,31,0.8571428571428571,0.14285714285714285,0.7777777777777778,,,
Adriano Martins,110.0,110.0,0,2,0,12.5,0.46,0.25,1.0,0.438,2,1,7,0,0,1,0,1,1,0,3,Southpaw,177.8,182.88,155,32,0.6666666666666666,0.3333333333333333,0.75,,,
Aiemann Zahabi,,,0,4,0,4.06,0.46,0.0,0.16,0.14,4,2,17,0,0,0,3,2,0,0,5,Orthodox,172.72,172.72,135,36,0.4,0.6,0.7142857142857143,,,
Ailin Perez,-180.0,55.5556,0,5,0,2.88,0.56,0.2,4.9,0.49,5,1,15,0,0,0,4,0,1,0,5,Switch,165.1,167.64,135,31,0.2,0.8,0.8333333333333334,,,
Aisling Daly,100.0,100.0,1,0,0,21.5,0.51,1.0,1.5,0.45,1,1,4,0,0,0,0,0,1,0,1,Switch,157.48,162.56,115,27,1.0,0.0,0.5,,,
Akbarh Arreola,275.0,275.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,155,31,0.0,0.0,0.0,,,
Akira Corassani,-130.0,76.9231,2,0,0,25.8,0.452,0.0,0.4,0.066,3,2,10,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,32,0.0,0.6666666666666666,0.6,,,
Al Iaquinta,160.0,160.0,2,0,0,4.06,0.4,0.2,0.63,0.18,5,5,41,2,0,1,4,4,0,0,9,Orthodox,177.8,177.8,155,34,0.4444444444444444,0.5555555555555556,0.6428571428571429,,,
Alan Baudot,310.0,310.0,1,0,0,7.81,0.61,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,243,33,0.0,0.0,0.0,,,
Alan Belcher,-290.0,34.4828,0,2,0,26.5455,0.396,0.4545,0.3636,0.24,2,4,23,0,0,1,0,2,3,1,7,Orthodox,187.96,185.42,185,27,0.7142857142857143,0.14285714285714285,0.6363636363636364,,,
Alan Jouban,-150.0,66.6667,1,0,0,4.85,0.5,0.0,0.59,0.5,3,5,24,0,0,0,3,4,0,0,7,Southpaw,182.88,185.42,170,38,0.5714285714285714,0.42857142857142855,0.5833333333333334,,,
Alan Omer,-165.0,60.6061,1,0,0,58.0,0.57,0.0,1.0,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,145,26,0.0,0.0,0.0,,,
Alan Patrick,-240.0,41.6667,0,2,0,21.0,0.48,0.4,2.6,0.402,2,1,12,0,0,0,3,1,0,0,4,Southpaw,180.34,187.96,155,34,0.25,0.75,0.8,,,
Alatengheili,,,1,0,1,2.64,0.32,0.0,1.99,0.45,2,2,19,0,0,1,2,1,0,0,4,Orthodox,165.1,167.64,135,32,0.25,0.75,0.6666666666666666,,,
Albert Cheng,125.0,125.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,179.07,170,29,0.0,0.0,0.0,,,
Albert Duraev,130.0,130.0,0,1,0,2.99,0.4,0.6,1.97,0.29,2,1,9,0,0,1,1,0,1,0,3,Orthodox,180.34,190.5,185,34,0.3333333333333333,0.6666666666666666,0.75,,,
Albert Morales,155.0,155.0,2,0,0,51.8,0.326,0.0,0.4,0.166,1,4,14,0,0,1,0,0,0,0,1,Orthodox,175.26,182.88,135,26,0.0,1.0,0.2,,,
Albert Tumenov,-155.0,64.5161,0,5,0,37.3333,0.39,0.0,0.1667,0.167,5,1,12,0,0,1,1,3,0,0,5,Orthodox,180.34,185.42,170,24,0.6,0.4,0.8333333333333334,,,
Alberto Mina,150.0,150.0,0,3,0,39.6667,0.467,0.0,1.3333,0.377,3,0,6,0,0,1,0,2,0,0,3,Orthodox,182.88,195.58,170,36,0.6666666666666666,0.3333333333333333,1.0,,,
Alberto Montes,-188.0,53.1915,0,1,0,,,,0.0,0.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,170.18,175.26,145,31,1.0,0.0,1.0,5.26,0.6,6.8
Alberto Uda,145.0,145.0,1,0,0,15.0,0.55,0.0,1.0,0.5,0,1,2,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,185,32,0.0,0.0,0.0,,,
Alden Coria,-390.0,25.641,0,1,0,4.69,0.44,0.0,1.75,0.5,1,0,3,0,0,0,0,1,0,0,1,Orthodox,172.72,170.18,125,27,1.0,0.0,1.0,,,
Alejandro Perez,245.0,245.0,0,1,1,3.45,0.35,0.3,0.54,0.22,4,3,27,1,0,1,3,3,1,0,8,Orthodox,167.64,170.18,135,32,0.5,0.5,0.7272727272727273,,,
Alekander Volkov,-270.0,37.037,1,0,0,,0.6,0.2,0.75,0.75,4,1,16,0,0,1,1,2,0,0,4,Orthodox,200.66,203.2,250,31,0.5,0.5,0.8,,,
Aleksa Camur,-265.0,37.7358,1,0,0,4.78,0.59,0.0,0.59,0.25,2,1,8,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,205,25,0.5,0.5,0.6666666666666666,,,
Aleksandar Rakic,-118.0,84.7458,3,0,0,4.13,0.5,0.1,0.64,0.21,4,4,25,0,0,0,4,2,0,0,6,Orthodox,193.04,198.12,205,33,0.3333333333333333,0.6666666666666666,0.6,,,
Aleksandre Topuria,-138.0,72.4638,0,1,0,,,,1.5,0.33,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,135,29,0.0,1.0,1.0,2.93,0.55,0.0
Aleksei Kunchenko,-440.0,22.7273,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,170,34,0.0,0.0,0.0,,,
Aleksei Oleinik,130.0,130.0,3,0,0,3.29,0.48,1.9,1.82,0.46,2,7,25,0,0,1,0,1,6,0,8,Orthodox,187.96,203.2,240,44,0.875,0.125,0.5333333333333333,,,
Alen Amedovski,-130.0,76.9231,0,1,0,0.52,0.28,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,185,31,0.0,0.0,0.0,,,
Alessandro Costa,-340.0,29.4118,0,1,0,3.64,0.44,0.5,0.46,0.16,1,2,13,0,0,1,0,2,0,0,3,Orthodox,162.56,170.18,125,29,0.6666666666666666,0.3333333333333333,0.6,,,
Alessandro Ricci,310.0,310.0,1,0,0,,,,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,175.26,155,34,0.0,0.0,0.0,28.0,0.46,0.0
Alessio Di Chirico,-105.0,95.2381,1,0,0,3.32,0.39,0.0,1.46,0.39,2,6,23,0,0,2,0,2,0,0,4,Orthodox,182.88,187.96,185,32,0.5,0.5,0.4,,,
Alessio Sakara,-175.0,57.1429,3,0,0,19.9286,0.469,0.0,0.7143,0.107,3,8,21,0,0,1,1,4,0,0,6,Orthodox,182.88,182.88,185,32,0.6666666666666666,0.3333333333333333,0.42857142857142855,,,
Alex Caceres,220.0,220.0,1,0,0,4.21,0.49,0.7,0.54,0.68,5,12,74,0,0,3,7,2,4,0,16,Southpaw,177.8,185.42,145,35,0.375,0.625,0.5714285714285714,,,
Alex Chambers,170.0,170.0,1,0,0,28.6667,0.61,1.0,1.0,0.467,1,2,7,0,0,0,0,0,1,0,1,Switch,160.02,160.02,115,39,1.0,0.0,0.3333333333333333,,,
Alex Da Silva,150.0,150.0,1,0,0,,,,1.97,0.43,1,2,8,0,0,0,1,0,0,0,1,Orthodox,172.72,185.42,155,26,0.0,1.0,0.3333333333333333,2.14,0.46,0.3
Alex Garcia,-245.0,40.8163,1,0,0,20.5556,0.32,0.1111,3.1111,0.466,2,4,22,0,0,1,1,2,1,0,5,Orthodox,175.26,182.88,170,31,0.6,0.4,0.5555555555555556,,,
Alex Gorgees,425.0,425.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,187.96,187.96,155,23,0.0,0.0,0.0,,,
Alex Morono,610.0,610.0,3,0,0,4.9,0.39,0.3,0.32,0.24,4,9,57,0,0,1,8,2,2,0,13,Orthodox,180.34,182.88,170,35,0.3076923076923077,0.6923076923076923,0.5909090909090909,,,
Alex Munoz,188.0,188.0,0,0,0,,,,4.0,0.66,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,175.26,155,30,0.0,0.0,0.0,4.07,0.63,0.0
Alex Nicholson,145.0,145.0,1,0,0,,,,0.0,0.0,1,2,6,0,0,0,0,1,0,0,1,Orthodox,193.04,205.74,185,27,1.0,0.0,0.3333333333333333,38.6667,0.447,0.0
Alex Oliveira,170.0,170.0,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,170,33,0.6363636363636364,0.36363636363636365,0.5789473684210527,,,
Alex Pereira,-122.0,81.9672,0,5,0,5.16,0.62,0.2,0.11,0.5,5,1,25,7,0,1,1,7,0,0,9,Orthodox,193.04,200.66,205,37,0.7777777777777778,0.2222222222222222,0.9,,,
Alex Perez,154.0,154.0,2,0,0,4.41,0.46,0.7,2.21,0.48,4,6,25,1,0,0,2,3,3,0,8,Orthodox,167.64,165.1,125,33,0.75,0.25,0.5714285714285714,,,
Alex Reyes,,,1,0,0,4.46,0.46,0.0,1.5,0.28,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,36,0.0,0.0,0.0,,,
Alex Soto,215.0,215.0,1,0,0,6.0,0.75,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,135,28,0.0,0.0,0.0,,,
Alex Torres,-115.0,86.9565,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,26,0.0,0.0,0.0,,,
Alex White,165.0,165.0,0,1,0,3.76,0.42,0.5,0.92,0.28,0,5,22,0,0,0,2,2,0,0,4,Southpaw,182.88,180.34,155,31,0.5,0.5,0.4444444444444444,,,
Alexa Grasso,124.0,124.0,2,0,1,4.11,0.41,0.7,0.4,0.35,5,5,45,3,0,1,5,0,2,0,8,Orthodox,165.1,167.64,125,32,0.25,0.75,0.6153846153846154,,,
Alexander Gustafsson,-320.0,31.25,1,0,0,44.2,0.385,0.3333,1.2,0.303,6,5,38,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,32,0.7,0.3,0.6666666666666666,,,
Alexander Hernandez,100.0,100.0,0,3,0,4.31,0.4,0.1,1.14,0.36,3,7,36,0,0,1,4,4,0,0,9,Orthodox,175.26,182.88,155,32,0.4444444444444444,0.5555555555555556,0.5625,,,
Alexander Munoz,-210.0,47.619,2,0,0,3.7,0.42,0.0,3.0,0.4,1,2,9,0,0,0,1,0,0,0,1,Switch,175.26,182.88,155,33,0.0,1.0,0.3333333333333333,,,
Alexander Volkanovski,-162.0,61.7284,0,1,0,5.99,0.57,0.2,1.63,0.34,12,3,58,10,0,1,8,5,0,0,14,Orthodox,167.64,180.34,145,37,0.35714285714285715,0.6428571428571429,0.8235294117647058,,,
Alexander Volkov,166.0,166.0,1,0,0,4.78,0.57,0.2,0.57,0.66,4,5,47,0,0,1,4,6,1,0,12,Orthodox,200.66,203.2,261,37,0.5833333333333334,0.4166666666666667,0.7058823529411765,,,
Alexander Yakovlev,110.0,110.0,0,1,0,,0.47,0.2,1.56,0.33,2,4,17,0,0,0,1,1,1,0,3,Southpaw,190.5,187.96,155,35,0.6666666666666666,0.3333333333333333,0.42857142857142855,,,
Alexandr Romanov,,,1,0,0,3.78,0.51,0.9,4.49,0.55,5,3,17,0,0,1,1,1,3,0,6,Southpaw,187.96,190.5,262,33,0.6666666666666666,0.3333333333333333,0.6666666666666666,,,
Alexandra Albu,-110.0,90.9091,0,2,0,62.0,0.56,0.5,2.5,0.31,2,0,5,0,0,0,1,0,1,0,2,Orthodox,157.48,160.02,115,28,0.5,0.5,1.0,,,
Alexandre Ferreira,180.0,180.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,205,31,0.0,0.0,0.0,,,
Alexandre Pantoja,-210.0,47.619,0,8,0,4.38,0.5,1.0,2.79,0.47,8,3,47,5,0,2,4,2,6,0,14,Orthodox,165.1,170.18,125,35,0.5714285714285714,0.42857142857142855,0.8235294117647058,,,
Alexia Thainara,-480.0,20.8333,0,3,0,4.62,0.43,1.8,4.54,0.57,3,0,7,0,0,0,2,0,1,0,3,Orthodox,162.56,170.18,115,30,0.3333333333333333,0.6666666666666666,1.0,,,
Alexis Davis,,,1,0,0,4.63,0.49,0.7,0.95,0.44,3,7,43,1,0,2,5,1,1,0,9,Orthodox,167.64,172.72,135,37,0.2222222222222222,0.7777777777777778,0.5625,,,
Alexis Dufresne,-220.0,45.4545,1,0,0,12.0,0.42,0.0,3.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,24,0.0,0.0,0.0,,,
Ali AlQaisi,190.0,190.0,1,0,0,2.93,0.41,1.0,2.0,0.22,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,30,0.0,0.0,0.0,,,
Ali Bagautinov,-260.0,38.4615,2,0,0,39.4,0.38,0.4,2.4,0.302,3,2,17,1,0,0,2,1,0,0,3,Orthodox,162.56,165.1,125,31,0.3333333333333333,0.6666666666666666,0.6,,,
Ali Qaisi,148.0,148.0,0,0,0,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,29,0.0,0.0,0.0,0.0,0.0,0.0
Aliaskhab Khizriev,-1000.0,10.0,0,1,0,6.01,0.64,3.8,5.64,0.6,1,0,1,0,0,0,0,0,1,0,1,Southpaw,175.26,187.96,185,31,1.0,0.0,1.0,,,
Alibi Idiris,-500.0,20.0,0,0,0,2.51,0.44,0.0,3.25,0.31,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,125,30,0.0,0.0,0.0,,,
Alice Ardelean,-360.0,27.7778,0,1,0,7.35,0.45,0.0,1.0,0.44,1,2,9,0,0,0,1,0,0,0,1,Orthodox,160.02,157.48,115,33,0.0,1.0,0.3333333333333333,,,
Alice Pereira,-164.0,60.9756,0,0,0,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,19,0.0,0.0,0.0,2.47,0.31,0.0
Alistair Overeem,150.0,150.0,0,2,0,3.71,0.64,0.8,1.44,0.56,11,15,83,1,1,0,4,20,8,0,33,Orthodox,193.04,203.2,265,40,0.8484848484848485,0.15151515151515152,0.6875,,,
Aljamain Sterling,-258.0,38.7597,0,9,0,4.61,0.52,0.7,2.31,0.27,9,3,52,4,0,2,6,2,4,0,15,Orthodox,170.18,180.34,145,34,0.4,0.5333333333333333,0.8333333333333334,,,
Allan Nascimento,-310.0,32.2581,0,3,0,3.06,0.55,1.1,1.26,0.23,3,2,13,0,0,0,2,0,1,0,3,Orthodox,172.72,175.26,125,34,0.3333333333333333,0.6666666666666666,0.6,,,
Allan Zuniga,110.0,110.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,26,0.0,0.0,0.0,,,
Allen Crowder,190.0,190.0,0,1,0,2.95,0.51,1.2,1.85,0.33,1,1,3,0,0,0,0,0,0,0,1,Orthodox,190.5,193.04,245,29,0.0,0.0,0.5,,,
Allen Frye Jr.,158.0,158.0,0,0,0,2.2,0.38,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265,27,0.0,0.0,0.0,,,
Alonzo Menifield,490.0,490.0,0,1,1,3.77,0.53,0.2,0.5,0.31,4,5,32,0,0,1,2,6,2,0,11,Orthodox,182.88,193.04,205,37,0.7272727272727273,0.2727272727272727,0.6875,,,
Alptekin Ozkilic,-230.0,43.4783,2,0,0,58.3333,0.307,0.0,4.3333,0.63,1,2,9,0,0,1,0,0,0,0,1,Orthodox,165.1,165.1,125,29,0.0,1.0,0.3333333333333333,,,
Alvaro Herrera,185.0,185.0,1,0,0,8.0,0.45,0.0,0.0,0.0,1,1,3,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,27,1.0,0.0,0.5,,,
Alvin Hines,360.0,360.0,0,0,0,,,,1.0,0.1,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,265,33,0.0,0.0,0.0,5.47,0.31,0.0
Amanda Cooper,-525.0,19.0476,1,0,0,25.6667,0.3,1.0,0.6667,0.22,1,2,5,1,0,0,1,0,0,0,1,Switch,160.02,162.56,115,26,0.0,1.0,0.3333333333333333,,,
Amanda Lemos,194.0,194.0,1,0,0,2.75,0.55,0.7,1.02,0.64,5,5,33,1,0,1,3,3,2,0,9,Southpaw,162.56,165.1,115,38,0.5555555555555556,0.4444444444444444,0.6428571428571429,,,
Amanda Nunes,-335.0,29.8507,0,1,0,4.55,0.51,0.7,2.73,0.54,12,3,45,11,0,1,4,8,3,0,16,Orthodox,172.72,175.26,135,35,0.6875,0.3125,0.8421052631578947,,,
Amanda Ribas,-178.0,56.1798,2,0,0,4.26,0.39,0.6,2.05,0.52,4,5,33,0,0,0,4,1,2,0,7,Orthodox,162.56,167.64,115,31,0.42857142857142855,0.5714285714285714,0.5833333333333334,,,
Amilcar Alves,180.0,180.0,1,0,0,,,,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,170,22,0.0,0.0,0.0,4.0,0.4,0.0
Amir Albazi,300.0,300.0,1,0,0,2.47,0.33,0.4,1.18,0.25,5,1,18,0,0,1,1,1,2,0,5,Orthodox,165.1,172.72,125,32,0.6,0.4,0.8333333333333334,,,
Amir Sadollah,-105.0,95.2381,1,0,0,60.25,0.416,0.25,0.5,0.25,2,3,19,1,0,0,3,1,1,0,5,Orthodox,177.8,187.96,170,31,0.4,0.6,0.625,,,
An Ying Wang,380.0,380.0,0,1,0,13.0,0.28,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,Orthodox,182.88,182.88,170,23,0.0,0.0,1.0,,,
Anderson Dos Santos,190.0,190.0,0,1,0,,,,0.98,0.14,1,2,7,0,0,0,0,0,1,0,1,Orthodox,165.1,177.8,135,36,1.0,0.0,0.3333333333333333,2.7,0.25,0.7
Anderson Silva,100.0,100.0,5,0,0,33.1905,0.656,0.2857,0.1429,0.143,16,5,52,13,0,0,2,11,3,0,16,Southpaw,187.96,195.58,185,41,0.875,0.125,0.7619047619047619,,,
Andre Ewell,112.0,112.0,0,2,0,4.5,0.41,0.0,0.17,0.5,2,2,18,0,0,3,1,0,0,0,4,Southpaw,172.72,190.5,135,33,0.0,1.0,0.6666666666666666,,,
Andre Fialho,194.0,194.0,2,0,0,3.3,0.41,0.0,0.25,1.0,2,3,10,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,170,29,1.0,0.0,0.4,,,
Andre Fili,370.0,370.0,0,1,0,3.88,0.37,0.2,2.32,0.46,2,11,58,0,0,5,4,4,0,0,13,Orthodox,180.34,187.96,145,35,0.3076923076923077,0.6923076923076923,0.5416666666666666,,,
Andre Lima,-490.0,20.4082,0,4,0,,,,1.36,0.75,4,0,11,0,0,1,2,0,0,0,4,Orthodox,170.18,170.18,125,26,0.0,0.75,1.0,4.06,0.6,1.1
Andre Muniz,-205.0,48.7805,0,7,0,1.97,0.5,1.2,4.23,0.5,7,0,13,0,0,0,3,0,4,0,7,Southpaw,185.42,198.12,185,33,0.5714285714285714,0.42857142857142855,1.0,,,
Andre Petroski,-298.0,33.557,0,1,0,2.77,0.5,1.7,3.91,0.56,5,2,19,0,0,1,2,1,2,0,6,Switch,182.88,185.42,185,33,0.5,0.5,0.75,,,
Andre Soukhamthath,-140.0,71.4286,1,0,0,33.5,0.4,0.0,1.0,0.143,1,3,11,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,135,30,1.0,0.0,0.25,,,
Andre Winner,-115.0,86.9565,0,2,0,40.3333,0.443,0.0,0.0,0.0,2,1,7,1,0,0,1,1,0,0,2,Orthodox,180.34,185.42,155,28,0.5,0.5,0.6666666666666666,,,
Andrea Lee,148.0,148.0,5,0,0,4.62,0.45,0.6,1.65,0.52,3,8,37,0,0,0,3,1,1,0,5,Orthodox,167.64,175.26,125,36,0.4,0.6,0.38461538461538464,,,
Andreas Gustafsson,-132.0,75.7576,0,2,0,5.82,0.71,0.0,6.19,0.58,2,0,5,0,0,0,1,1,0,0,2,Orthodox,185.42,185.42,170,34,0.5,0.5,1.0,,,
Andreas Michailidis,-190.0,52.6316,1,0,0,4.8,0.52,0.0,0.75,0.5,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,185,32,0.0,0.0,0.0,,,
Andreas Stahl,135.0,135.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,26,0.0,0.0,0.0,,,
Andrei Arlovski,,,3,0,0,3.82,0.45,0.2,0.37,0.35,6,21,103,5,0,3,9,11,2,0,25,Orthodox,190.5,195.58,240,45,0.52,0.48,0.5434782608695652,,,
Andrew Craig,230.0,230.0,2,0,0,30.8333,0.447,0.0,0.5,0.193,2,3,16,0,0,1,1,1,0,0,3,Orthodox,185.42,193.04,170,29,0.3333333333333333,0.6666666666666666,0.5,,,
Andrew Holbrook,-175.0,57.1429,1,0,0,,,,0.5,0.25,1,2,8,0,0,2,0,0,0,0,2,Southpaw,180.34,177.8,155,31,0.0,1.0,0.5,14.0,0.543,1.25
Andrew Sanchez,135.0,135.0,1,0,0,4.3,0.43,0.0,2.55,0.36,2,4,25,1,0,0,4,1,0,0,5,Orthodox,185.42,187.96,185,33,0.2,0.8,0.5555555555555556,,,
Andrey Pulyaev,660.0,660.0,0,1,0,,,,0.29,0.16,1,1,8,0,0,0,1,1,0,0,2,Southpaw,193.04,198.12,185,28,0.5,0.5,0.6666666666666666,3.84,0.56,0.0
Andy Enz,165.0,165.0,2,0,0,,,,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,185,23,0.0,0.0,0.0,55.5,0.24,0.0
