fighter,odds,ev,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,finish_rate,decision_rate,win_rate,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUATT
Danny Henry,130.0,130.0,0,2,0,47.5,0.465,1.5,0.5,0.165,2,0,4,0,0,0,1,0,1,0,2,Orthodox,182.88,185.42,145,30,0.5,0.5,1.0,,,
Danny Martinez,-115.0,86.9565,2,0,0,40.0,0.31,0.0,2.5,0.175,0,2,6,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,125,30,0.0,0.0,0.0,,,
Danny Mitchell,-190.0,52.6316,1,0,0,,,,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,170,28,0.0,0.0,0.0,18.0,0.52,5.0
Danny Roberts,-140.0,71.4286,2,0,0,3.18,0.39,0.2,0.24,0.09,2,6,27,0,0,2,1,3,1,0,7,Southpaw,185.42,187.96,170,36,0.5714285714285714,0.42857142857142855,0.5384615384615384,,,
Danny Silva,300.0,300.0,0,3,0,6.35,0.54,0.2,2.06,0.36,3,0,9,0,0,2,1,0,0,0,3,Switch,170.18,175.26,145,28,0.0,1.0,1.0,,,
Danyelle Wolf,295.0,295.0,0,1,0,,,,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,177.8,145,39,0.0,1.0,1.0,2.37,0.25,0.5
Daria Zhelezniakova,205.0,205.0,1,0,0,4.75,0.41,0.0,0.44,1.0,1,1,4,0,0,0,1,0,0,0,1,Orthodox,175.26,172.72,135,29,0.0,1.0,0.5,,,
Darian Weeks,-120.0,83.3333,2,0,0,4.49,0.51,0.0,2.0,0.3,0,2,6,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,28,0.0,0.0,0.0,,,
Darko Stosic,-120.0,83.3333,1,0,0,2.61,0.45,0.0,3.42,0.5,1,1,4,0,0,0,0,1,0,0,0,Orthodox,182.88,193.04,205,27,0.0,0.0,0.0,,,
Daron Cruickshank,-200.0,50.0,2,0,0,31.1818,0.395,0.1818,1.3636,0.329,2,5,26,0,0,1,2,3,0,0,6,Switch,172.72,182.88,155,30,0.5,0.5,0.5454545454545454,,,
Darrell Horcher,280.0,280.0,1,0,0,,,,0.3333,0.333,1,2,8,0,0,1,0,0,0,0,1,Southpaw,177.8,177.8,155,31,0.0,1.0,0.3333333333333333,26.3333,0.423,0.6667
Darrell Montague,120.0,120.0,2,0,0,18.0,0.255,1.0,0.5,0.25,0,2,4,0,0,0,0,0,0,0,0,Southpaw,167.64,170.18,125,27,0.0,0.0,0.0,,,
Darren Elkins,230.0,230.0,0,2,0,3.4,0.38,1.1,2.87,0.34,6,10,75,0,0,2,10,4,3,0,19,Orthodox,177.8,180.34,145,40,0.3684210526315789,0.631578947368421,0.6551724137931034,,,
Darren Stewart,100.0,100.0,0,2,0,22.5,0.452,0.0,1.0,0.227,2,4,11,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,27,1.0,0.0,0.3333333333333333,,,
Darren Till,165.0,165.0,2,0,1,2.3,0.46,0.0,0.55,0.46,4,4,32,1,0,1,3,2,0,0,6,Southpaw,182.88,187.96,185,29,0.3333333333333333,0.6666666666666666,0.6,,,
Darren Uyenoyama,210.0,210.0,1,0,0,11.0,0.44,1.0,0.6667,0.22,2,1,7,0,0,0,1,0,1,0,2,Orthodox,167.64,162.56,125,34,0.5,0.5,0.6666666666666666,,,
Darrick Minner,330.0,330.0,2,0,0,2.63,0.65,2.7,2.4,0.72,2,4,12,0,0,0,1,0,1,0,2,Orthodox,170.18,175.26,145,32,0.5,0.5,0.3333333333333333,,,
Darrius Flowers,,,2,0,0,,,,0.98,0.28,1,2,6,0,0,0,0,0,1,0,1,Orthodox,175.26,180.34,155,29,1.0,0.0,0.3333333333333333,3.07,0.49,0.0
Dashon Johnson,120.0,120.0,1,0,0,,,,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,26,0.0,0.0,0.0,11.0,0.73,1.0
Dave Galera,-190.0,52.6316,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,183.0,135,35,0.0,0.0,0.0,,,
Dave Herman,-143.0,69.9301,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,242,26,0.0,0.0,0.0,,,
Davey Grant,310.0,310.0,0,1,0,5.14,0.44,0.2,1.03,0.4,3,6,35,1,0,1,2,3,1,0,7,Orthodox,172.72,175.26,135,39,0.5714285714285714,0.42857142857142855,0.5384615384615384,,,
Davi Ramos,160.0,160.0,1,0,0,2.74,0.39,0.7,2.42,0.5,4,2,14,0,0,0,1,0,3,0,4,Orthodox,167.64,177.8,155,33,0.75,0.25,0.6666666666666666,,,
David Branch,130.0,130.0,1,0,0,17.0,0.415,0.0,1.75,0.348,2,4,19,0,0,1,2,1,0,0,4,Orthodox,185.42,198.12,185,37,0.25,0.75,0.5,,,
David Dvorak,-300.0,33.3333,2,0,0,3.48,0.43,0.2,0.58,0.3,3,2,13,0,0,0,2,0,1,0,3,Orthodox,165.1,172.72,125,31,0.3333333333333333,0.6666666666666666,0.6,,,
David Loiseau,205.0,205.0,3,0,0,20.5,0.475,0.125,0.375,0.313,3,4,20,1,0,0,0,2,0,2,4,Orthodox,182.88,193.04,185,30,0.5,0.0,0.5,,,
David Martinez,-770.0,12.987,0,1,0,4.82,0.46,0.0,0.6,0.25,1,0,3,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,135,26,0.0,1.0,1.0,,,
David Michaud,-230.0,43.4783,1,0,0,41.0,0.33,2.0,3.0,0.37,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,26,0.0,0.0,0.0,,,
David Mitchell,280.0,280.0,1,0,0,,,,0.75,0.29,1,3,11,0,0,0,1,0,0,0,1,Orthodox,182.88,193.04,170,33,0.0,1.0,0.25,28.25,0.415,2.0
David Onama,-1450.0,6.8966,0,2,0,5.6,0.5,0.6,0.73,0.2,2,2,14,0,0,0,1,2,1,0,4,Orthodox,180.34,187.96,145,30,0.75,0.25,0.6666666666666666,,,
David Teymur,-130.0,76.9231,0,3,0,51.3333,0.497,0.0,1.0,0.427,3,0,7,0,0,0,1,2,0,0,3,Southpaw,175.26,185.42,155,28,0.6666666666666666,0.3333333333333333,1.0,,,
David Zawada,210.0,210.0,0,1,0,3.38,0.41,3.3,0.94,0.22,1,2,7,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,170,30,1.0,0.0,0.3333333333333333,,,
Dean Barry,-800.0,12.5,0,0,0,9.31,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,29,0.0,0.0,0.0,,,
Deiveson Figueiredo,265.0,265.0,2,0,1,2.63,0.53,1.2,1.61,0.35,5,5,51,6,0,1,4,4,4,0,13,Orthodox,165.1,172.72,135,37,0.6153846153846154,0.38461538461538464,0.7222222222222222,,,
Delson Heleno,-120.0,83.3333,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,183.0,185,34,0.0,0.0,0.0,,,
Demetrious Johnson,-470.0,21.2766,0,13,0,64.2353,0.549,0.7059,4.2941,0.473,13,2,64,13,0,1,7,2,5,0,15,Orthodox,160.02,167.64,125,31,0.4666666666666667,0.5333333333333333,0.8823529411764706,,,
Demian Maia,170.0,170.0,1,0,0,1.8,0.43,1.0,2.49,0.24,7,10,86,2,1,1,8,1,11,0,22,Southpaw,185.42,182.88,170,43,0.5454545454545454,0.45454545454545453,0.6875,,,
Denis Tiuliulin,110.0,110.0,1,0,0,3.61,0.41,0.0,0.96,0.42,0,1,2,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,185,34,0.0,0.0,0.0,,,
Denise Gomes,170.0,170.0,0,1,0,4.48,0.49,0.9,0.88,0.3,1,0,3,0,0,0,1,0,0,0,1,Orthodox,157.48,160.02,115,22,0.0,1.0,1.0,,,
Dennis Bermudez,105.0,105.0,4,0,0,50.4375,0.454,0.75,2.875,0.389,7,7,39,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,32,0.3333333333333333,0.6666666666666666,0.5625,,,
Dennis Buzukja,180.0,180.0,0,1,0,4.21,0.43,0.2,0.63,0.27,1,3,13,0,0,0,1,1,0,0,2,Switch,175.26,177.8,145,26,0.5,0.5,0.4,,,
Dennis Hallman,115.0,115.0,0,2,0,10.5714,0.346,1.4286,1.1429,0.189,2,4,17,1,0,0,1,1,1,0,3,Orthodox,175.26,182.88,155,35,0.6666666666666666,0.3333333333333333,0.42857142857142855,,,
Dennis Siver,-150.0,66.6667,1,0,0,39.1579,0.337,0.2105,0.6842,0.297,4,8,44,0,0,0,6,3,2,0,11,Orthodox,167.64,177.8,145,36,0.45454545454545453,0.5454545454545454,0.5789473684210527,,,
Denys Bondar,110.0,110.0,2,0,0,,,,3.99,0.58,0,2,4,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,125,31,0.0,0.0,0.0,4.59,0.5,0.0
Denzel Freeman,215.0,215.0,0,1,0,,,,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,185.42,195.58,265,34,0.0,1.0,1.0,2.45,0.56,0.0
Dequan Townsend,245.0,245.0,3,0,0,1.15,0.35,0.0,0.0,0.0,0,3,9,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,205,34,0.0,0.0,0.0,,,
Derek Brunson,200.0,200.0,1,0,0,3.51,0.47,0.6,3.14,0.33,5,7,49,0,0,0,7,7,3,0,17,Southpaw,185.42,195.58,185,39,0.5882352941176471,0.4117647058823529,0.7083333333333334,,,
Deron Winn,160.0,160.0,0,1,0,4.74,0.47,0.0,4.98,0.52,1,2,1,0,0,0,0,0,0,0,2,Orthodox,167.64,177.8,185,31,0.0,0.0,0.5,,,
Derrick,-110.0,90.9091,1,0,0,,,,3.18,0.5,0,1,1,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,31,0.0,0.0,0.0,2.07,0.37,0.8
Derrick Krantz,700.0,700.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,31,0.0,0.0,0.0,,0.37,
Derrick Lewis,186.0,186.0,0,1,0,2.46,0.49,0.0,0.55,0.26,6,10,65,2,0,2,2,15,0,0,19,Orthodox,190.5,200.66,260,40,0.7894736842105263,0.21052631578947367,0.6551724137931034,,,
Desmond Green,-900.0,11.1111,0,1,0,44.3333,0.485,0.0,1.0,0.333,1,3,16,0,0,1,1,1,0,0,3,Southpaw,177.8,185.42,155,29,0.3333333333333333,0.6666666666666666,0.5,,,
Devin Clark,,,1,0,0,3.03,0.54,0.1,2.17,0.32,2,8,39,0,0,0,7,1,0,0,8,Orthodox,182.88,190.5,205,33,0.125,0.875,0.5,,,
Devin Powell,200.0,200.0,0,1,0,25.6667,0.423,0.6667,0.0,0.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,155,30,1.0,0.0,0.3333333333333333,,,
Devonte Smith,-145.0,68.9655,1,0,0,4.55,0.53,0.3,0.35,0.25,3,2,8,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,155,28,1.0,0.0,0.6666666666666666,,,
Dhiego Lima,105.0,105.0,3,0,0,18.4,0.534,0.8,1.2,0.15,1,4,8,2,0,0,1,0,0,0,1,Orthodox,187.96,187.96,170,29,0.0,1.0,0.2,,,
Diana Belbita,730.0,730.0,2,0,0,6.45,0.41,0.0,0.86,0.62,1,5,17,0,0,0,2,0,0,0,2,Orthodox,170.18,172.72,125,28,0.0,1.0,0.2857142857142857,,,
Diego Brandao,145.0,145.0,0,2,0,19.6667,0.49,0.3333,1.6667,0.412,3,3,15,1,0,0,2,1,2,1,6,Orthodox,170.18,172.72,145,28,0.5,0.3333333333333333,0.6666666666666666,,,
Diego Ferreira,,,0,1,0,5.04,0.39,0.6,0.96,0.3,6,5,30,0,0,0,3,4,2,0,9,Orthodox,175.26,187.96,155,39,0.6666666666666666,0.3333333333333333,0.6428571428571429,,,
Diego Lopes,176.0,176.0,1,0,0,3.83,0.47,1.4,0.88,0.5,5,3,20,2,0,0,2,2,1,0,5,Orthodox,180.34,182.88,145,30,0.6,0.4,0.625,,,
Diego Nunes,-135.0,74.0741,0,1,0,49.6,0.432,0.0,1.0,0.3,1,2,15,0,0,1,2,0,0,0,3,Orthodox,167.64,170.18,145,30,0.0,1.0,0.6,,,
Diego Rivas,-175.0,57.1429,1,0,0,15.6667,0.423,0.6667,1.3333,0.887,2,1,8,0,0,0,1,1,0,0,2,Orthodox,172.72,175.26,145,26,0.5,0.5,0.6666666666666666,,,
Diego Sanchez,470.0,470.0,0,1,0,2.73,0.38,0.9,1.57,0.24,9,12,86,2,0,3,10,6,2,0,22,Southpaw,177.8,182.88,170,38,0.36363636363636365,0.5909090909090909,0.6470588235294118,,,
Dileno Lopes,210.0,210.0,1,0,0,,,,3.0,0.75,0,1,3,1,0,0,0,0,0,0,0,Southpaw,165.1,165.1,135,31,0.0,0.0,0.0,46.0,0.42,3.0
Dione Barbosa,,,0,1,0,1.85,0.48,2.2,1.73,0.28,1,0,1,0,0,0,0,0,1,0,1,Orthodox,167.64,167.64,125,31,1.0,0.0,1.0,,,
Diyar Nurgozhay,-430.0,23.2558,0,1,0,4.52,0.59,0.0,1.37,0.75,1,0,2,0,0,0,0,1,0,0,1,Southpaw,187.96,187.96,205,27,1.0,0.0,1.0,,,
Djorden Santos,-250.0,40.0,0,1,0,7.0,0.44,0.0,0.67,0.33,1,0,3,0,0,0,1,0,0,0,1,Orthodox,182.88,190.5,185,27,0.0,1.0,1.0,,,
Dmitrii Smoliakov,100.0,100.0,1,0,0,14.0,0.41,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Switch,187.96,187.96,253,34,0.0,0.0,0.0,,,
Dmitry Sosnovskiy,-260.0,38.4615,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,240,28,0.0,0.0,0.0,,,
Dom Mar Fan,-158.0,63.2911,0,2,0,,,,2.0,0.5,2,0,6,0,0,0,2,0,0,0,2,Orthodox,180.34,190.5,155,25,0.0,1.0,1.0,3.71,0.56,0.3
Domingo Pilarte,-125.0,80.0,1,0,0,2.06,0.51,1.4,2.06,0.42,0,1,3,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,135,30,0.0,0.0,0.0,,,
Dominic Waters,230.0,230.0,2,0,0,,,,2.5,0.5,0,2,4,0,0,0,0,0,0,0,0,Orthodox,185.42,200.66,170,27,0.0,0.0,0.0,6.5,0.12,0.0
Dominick Cruz,120.0,120.0,2,0,0,3.65,0.32,0.1,2.99,0.46,12,3,53,6,0,2,8,2,0,0,12,Orthodox,172.72,172.72,135,35,0.16666666666666666,0.8333333333333334,0.8,,,
Dominick Reyes,-380.0,26.3158,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,Southpaw,193.04,195.58,205,34,0.7142857142857143,0.2857142857142857,0.6363636363636364,,,
Dominique Steele,-130.0,76.9231,1,0,0,2.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,170,27,0.0,0.0,0.0,,,
Don Madge,-190.0,52.6316,0,1,0,2.08,0.52,0.7,2.22,0.25,1,0,2,0,0,0,0,1,0,0,1,Southpaw,182.88,182.88,155,28,1.0,0.0,1.0,,,
Don Shainis,360.0,360.0,1,0,0,,,,0.97,0.25,0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,145,32,0.0,0.0,0.0,3.42,0.5,1.9
Don'Tale Mayes,265.0,265.0,1,0,0,3.22,0.43,0.0,0.59,0.38,2,6,34,0,0,0,2,4,0,0,6,Orthodox,198.12,205.74,260,33,0.6666666666666666,0.3333333333333333,0.5,,,
Don'tale Mayes,265.0,265.0,0,0,0,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,198.12,205.74,260,27,0.0,0.0,0.0,4.25,0.44,0.0
Donald Cerrone,-150.0,66.6667,4,0,0,4.43,0.46,1.2,1.18,0.33,8,15,103,1,0,0,9,10,10,0,29,Orthodox,185.42,185.42,170,38,0.6896551724137931,0.3103448275862069,0.6590909090909091,,,
Dong Hyun Kim,200.0,200.0,0,3,0,23.8235,0.524,0.4706,2.1765,0.446,4,4,42,0,0,2,6,4,1,0,13,Southpaw,187.96,193.04,170,35,0.38461538461538464,0.6153846153846154,0.7647058823529411,,,
Dong Hyun Ma,150.0,150.0,2,0,0,,0.431,0.0,1.55,0.539,3,4,16,0,0,1,1,1,0,0,3,Orthodox,180.34,179.07,155,31,0.3333333333333333,0.6666666666666666,0.42857142857142855,,,
DongHun Choi,-122.0,81.9672,0,2,0,,,,0.46,0.14,2,0,6,0,0,2,0,0,0,0,2,Switch,165.1,167.64,125,25,0.0,1.0,1.0,4.54,0.66,0.0
Dongi Yang,105.0,105.0,2,0,0,47.5,0.518,0.5,1.5,0.608,1,3,11,0,0,0,0,1,0,0,1,Southpaw,177.8,180.34,185,30,1.0,0.0,0.25,,,
